Wall time,Step,Value
1772225073.997884,742,5.871340545127168e-05
1772225074.037817,743,7.893714791862294e-05
1772225074.08177,744,5.554282324737869e-05
1772225074.127817,745,0.00011732977873180062
1772225074.41062,752,0.00010677800310077146
1772225074.52798,755,0.0009433692321181297
1772225074.566715,756,0.000839167507365346
1772225074.645393,758,0.0006997469463385642
1772225074.855181,763,0.0006178296753205359
1772225074.898381,764,0.00084595539374277
1772225074.93927,765,0.0006862065638415515
1772225075.061779,768,0.0004675851669162512
1772225075.104999,769,0.0006020666914992034
1772225075.225002,772,0.001667722244746983
1772225075.264981,773,0.00256833853200078
1772225075.348166,775,0.0026058154180645943
1772225075.390466,776,0.0027507769409567118
1772225075.472372,778,0.005086713004857302
1772225075.51369,779,0.00811309926211834
1772225075.554392,780,0.01012751180678606
1772225075.594976,781,0.011107010766863823
1772225075.636591,782,0.01962554268538952
1772225075.886653,788,0.015971437096595764
1772225075.929078,789,0.029401637613773346
1772225076.012437,791,0.024516962468624115
1772225076.094334,793,0.04380521550774574
1772225076.175104,795,0.02743394486606121
1772225076.215338,796,0.031245974823832512
1772225076.336055,799,0.007530546747148037
1772225076.375948,800,0.0049526020884513855
1772225076.536937,804,0.004756685346364975
1772225076.57628,805,0.005100357811897993
1772225076.616353,806,0.004189794883131981
1772225076.656273,807,0.004557801876217127
1772225076.77823,810,0.0014871200546622276
1772225076.906328,813,0.000188687103218399
1772225077.117243,818,0.0002009801974054426
1772225077.156963,819,0.000226188130909577
1772225077.23673,821,0.00011288980022072792
1772225077.279767,822,0.00011010898742824793
1772225077.321304,823,7.699524576310068e-05
1772225077.400401,825,7.28651211829856e-05
1772225077.4407,826,7.384642958641052e-05
1772225077.48076,827,8.49680945975706e-05
1772225077.522282,828,6.322007538983598e-05
1772225077.686507,832,5.784793756902218e-05
1772225077.727109,833,5.093066647532396e-05
1772225077.809186,835,3.7542882637353614e-05
1772225077.849334,836,3.580462362151593e-05
1772225077.889159,837,3.962018308811821e-05
1772225077.968531,839,3.965721043641679e-05
1772225078.008165,840,4.497677582548931e-05
1772225078.127303,843,3.6653003917308524e-05
1772225078.206133,845,5.65015034226235e-05
1772225078.408107,850,4.8401765525341034e-05
1772225078.448465,851,0.0001598877424839884
1772225078.567312,854,0.00023565234732814133
1772225078.686608,857,0.00020058259542565793
1772225078.807115,860,0.000273451441898942
1772225078.88574,862,0.00017679078155197203
1772225079.007443,865,0.00027213935391046107
1772225079.049941,866,0.00036044439184479415
1772225079.210158,870,0.0003735888749361038
1772225079.250318,871,0.00031546762329526246
1772225079.650062,881,0.0017933468334376812
1772225079.735319,883,0.0023445046972483397
1772225079.775755,884,0.001221714774146676
1772225079.816958,885,0.0009127138182520866
1772225079.859321,886,0.0015032538212835789
1772225079.938521,888,0.0016205101273953915
1772225080.020009,890,0.0008753943257033825
1772225080.099826,892,0.0023448604624718428
1772225080.21916,895,0.0015653973678126931
1772225080.300023,897,0.00318689807318151
1772225080.342056,898,0.004271837882697582
1772225080.462293,901,0.009982907213270664
1772225080.501557,902,0.015366366133093834
1772225080.580005,904,0.007383932359516621
1772225080.661392,906,0.026495836675167084
1772225080.700952,907,0.008288889192044735
1772225080.739599,908,0.006602612789720297
1772225080.822132,910,0.0037101455964148045
1772225080.861891,911,0.0035217232070863247
1772225080.984736,914,0.0021098197903484106
1772225081.150596,918,0.0002822836977429688
1772225081.191272,919,0.00016444848733954132
1772225081.271641,921,0.00011276311852270737
1772225081.357823,923,0.00016464096552226692
1772225081.521051,927,9.785868314793333e-05
1772225081.561894,928,8.587360935052857e-05
1772225081.602135,929,0.00013945843966212124
1772225081.643234,930,0.00017915896023623645
1772225081.684037,931,0.00022893551795277745
1772225081.724555,932,0.00033292462467215955
1772225081.7651,933,0.0004028566472698003
1772225081.847378,935,0.0001311629021074623
1772225082.013439,939,0.00024695650790818036
1772225082.096672,941,0.00018787132285069674
1772225082.137273,942,0.00014667112554889172
1772225082.257858,945,0.00016964456881396472
1772225082.415113,949,0.00027881155256181955
1772225082.529937,952,0.00020317311282269657
1772225082.608341,954,0.00021120166638866067
1772225082.64809,955,0.00017821285291574895
1772225082.687144,956,0.0002479629183653742
1772225082.849166,960,0.00020901300013065338
1772225082.930794,962,5.2418105042306706e-05
1772225082.970493,963,9.868344204733148e-05
1772225083.013063,964,9.930558007908985e-05
1772225083.052858,965,7.825335342204198e-05
1772225083.133521,967,0.00012404982408042997
1772225083.176547,968,0.0001555553899379447
1772225083.29769,971,0.00035969517193734646
1772225083.495608,976,0.002923976629972458
1772225083.574531,978,0.004494532942771912
1772225083.613253,979,0.006156956311315298
1772225083.692884,981,0.007487623021006584
1772225083.732319,982,0.003733894322067499
1772225083.899118,986,0.0015209094854071736
1772225083.985107,988,0.0014763009967282414
1772225084.024949,989,0.0014159352285787463
1772225084.066828,990,0.0008345447713509202
1772225084.15603,992,0.001426372560672462
1772225084.239093,994,0.0017258638981729746
1772225084.279402,995,0.0012462581507861614
1772225084.320829,996,0.001649249461479485
1772225084.40262,998,0.0015915302792564034
1772225084.442444,999,0.001895638182759285
1772225084.522464,1001,0.00240027392283082
1772225084.562739,1002,0.004034233745187521
1772225084.603474,1003,0.009283001534640789
1772225084.644407,1004,0.009785224683582783
1772225084.684251,1005,0.012865188531577587
1772225084.727479,1006,0.015433969907462597
1772225084.933026,1011,0.009064390324056149
1772225085.014721,1013,0.021191749721765518
1772225085.096503,1015,0.01134858001023531
1772225085.137104,1016,0.016267020255327225
1772225085.177277,1017,0.013998000882565975
1772225085.382449,1022,0.003944201860576868
1772225085.542586,1026,0.00503572728484869
1772225085.623523,1028,0.0027237848844379187
1772225085.664175,1029,0.0027439745608717203
1772225085.914216,1035,0.0007643851567991078
1772225085.955881,1036,0.0020208703354001045
1772225085.99687,1037,0.0007768456707708538
1772225086.036994,1038,0.0009429077617824078
1772225086.077978,1039,0.00035157956881448627
1772225086.242351,1043,0.000734295230358839
1772225086.326358,1045,0.0005798768834210932
1772225086.366211,1046,0.0002037374215433374
1772225086.61753,1052,0.00014449989248532802
1772225086.659701,1053,0.00019965595856774598
1772225086.779625,1056,5.446176146506332e-05
1772225086.863649,1058,0.000153046814375557
1772225086.905122,1059,0.00011166519107064232
1772225086.949997,1060,0.00012401423009578139
1772225087.045832,1062,0.00021627850946970284
1772225087.183929,1065,0.00019611368770711124
1772225087.228551,1066,0.00015624318621121347
