Vibrational ZPE	Polarizability	Dipole Moment	Adiabatic IE	Cohesive Energy	Molecular Mass	Number e-	Molecular Volume
11450.0	6.442	1.128	8.86	-2215.0	48.02	26.0	78.98
10510.0	8.131	0.1084	29040.0	-5188.0	221.0	106.0	140.7
15260.0	6.094	1.894	9.271	-3562.0	60.07	32.0	84.74
5862.0	8.862	1.148	10.07	-3288.0	217.0	100.0	126.5
17010.0	7.752	2.911	10.76	-4942.0	130.1	66.0	122.2
9613.0	4.63	2.505	11.41	-3064.0	102.0	50.0	81.35
1702.0	3.924	1.396	11.58	-1424.0	158.9	76.0	113.2
9161.0	7.68	0.3315	10.26	-2530.0	56.14	30.0	94.44
12840.0	6.177	1.981	8.749	-3386.0	56.06	30.0	82.28
6159.0	7.293	2.133	10.03	-5872000.0	145.9	68.0	96.94
14880.0	9.47	1.227	7.612	-3119.0	58.15	32.0	103.1
5278.0	7.124	1.805	11.09	-2709.0	153.1	74.0	105.6
17650.0	7.141	0.0	8.048	-3638.0	58.08	32.0	91.45
15390.0	6.124	1.838	9.752	-3552.0	60.07	32.0	84.98
15180.0	6.129	1.702	9.374	-3579.0	60.07	32.0	85.08
7940.0	4.354	1.987	11.13	-1616.0	50.48	26.0	63.92
10590.0	5.315	1.497	12.2	-3506.0	118.0	58.0	91.67
1851.0	4.506	2.977	12.0	-1148.0	61.47	30.0	64.96
19480.0	5.861	0.9765	8.08	-3582.0	45.08	26.0	81.44
11100.0	7.495	2.514	9.659	-3269.0	116.1	58.0	106.3
18600.0	9.043	0.6613	9.542	-5456000.0	104.7	52.0	110.7
18780.0	6.258	2.467	10.87	-4226.0	80.07	42.0	95.81
6829.0	8.261	1.163	9.915	-3585.0	166.5	80.0	122.5
11650.0	8.192	2.043	10.37	-2621.0	80.59	42.0	105.5
8053.0	9.693	0.8258	92160.0	-4200.0	248.9	116.0	146.9
14540.0	7.208	2.842	18790.0	-4735.0	150.0	74.0	119.2
17870.0	7.125	1.734	8.405	-3898.0	58.08	32.0	92.04
5740.0	7.209	1.687	9.409	-2187.0	142.9	66.0	95.76
10020.0	10.03	0.1473	9.344	-5455000.0	106.8	52.0	110.6
13890.0	6.443	1.496	11.97	-4366.0	134.0	66.0	108.3
15880.0	6.127	2.93	9.957	-3376.0	81.06	42.0	91.16
2118.0	8.746	0.8982	10.06	-1516.0	136.5	66.0	109.5
11930.0	4.986	1.819	8.888	-2734.0	44.05	24.0	68.08
8523.0	8.402	1.63	26510.0	-3575.0	148.5	72.0	119.3
6350.0	7.708	2.626	11.03	-2857.0	169.1	82.0	113.7
1332.0	6.116	1.95	10.23	-763.0	109.9	50.0	72.4
17720.0	8.268	0.4639	8.868	-4101.0	54.09	30.0	97.59
8883.0	8.992	0.6081	8.886	-1874.0	64.1	34.0	100.2
6758.0	4.318	1.851	10.85	-2445.0	102.0	50.0	76.0
12840.0	4.465	2.831	11.26	-2977.0	66.05	34.0	72.74
4516.0	6.499	1.301	11.12	-1525.0	102.9	50.0	90.61
6614.0	6.49	2.034	10.17	-2337.0	102.0	50.0	91.64
6755.0	8.567	0.8476	10.03	-3534.0	166.5	80.0	123.3
9021.0	8.22	1.503	10.79	-2532.0	96.74	48.0	108.1
9678.0	5.482	1.557	9.274	-1942.0	48.1	26.0	71.64
7693.0	8.645	1.261	11.53	-4072.0	182.5	88.0	132.4
12200.0	6.566	2.312	11.72	-4355.0	152.0	74.0	112.7
4188.0	5.215	0.2427	12.42	-1930.0	72.02	36.0	73.02
7340.0	7.589	1.453	11.23	-2917.0	180.9	84.0	112.0
6545.0	7.022	0.0	11.62	-3367.0	126.0	62.0	98.79
25050.0	10.11	0.5579	9.542	-5054.0	74.2	42.0	129.6
14050.0	6.314	2.215	10.72	-2831.0	64.51	34.0	87.0
1753.0	9.411	0.6375	11.4	-1667.0	153.4	74.0	125.6
1308.0	6.702	1.772	10.29	-990.9	102.1	50.0	84.38
9149.0	6.404	1.973	11.47	-2963.0	118.5	58.0	99.58
1205.0	8.224	0.976	10.2	-1077.0	120.9	58.0	101.5
2207.0	6.67	1.264	11.26	-1394.0	98.91	48.0	88.36
4540.0	6.416	1.109	10.7	-2085.0	137.5	66.0	99.07
9158.0	6.52	2.145	11.46	-2919.0	118.5	58.0	99.52
4578.0	7.515	1.121	10.86	-1873.0	178.5	86.0	111.6
22820.0	7.065	1.186	9.383	-4493.0	60.09	34.0	98.59
5754.0	7.152	1.02	9.381	-2213.0	142.9	66.0	95.9
7736.0	7.994	0.2663	11.14	-2926.0	187.0	90.0	124.9
18670.0	9.093	0.8335	9.29	-5456000.0	104.7	52.0	111.6
10120.0	8.124	2.324	23810.0	-3560.0	130.5	64.0	114.9
13270.0	8.35	2.282	11.12	-4198.0	150.5	74.0	125.9
8427.0	7.669	0.6731	11.39	-4379.0	161.0	78.0	119.3
2799.0	6.439	1.503	12.13	-1389.0	118.5	58.0	88.58
12120.0	4.321	1.932	10.34	-2663.0	44.05	24.0	63.43
7605.0	8.742	0.905	10.89	-4033.0	182.5	88.0	133.5
14950.0	8.081	1.732	9.183	-3442.0	76.52	40.0	103.2
3854.0	8.196	1.054	9.25	-2121.0	132.9	64.0	109.1
10710.0	7.472	1.682	20910.0	-4490.0	165.0	80.0	121.7
4394.0	8.197	0.6673	9.786	-2111.0	153.9	74.0	115.4
4565.0	3.311	3.94	11.6	-1670.0	43.02	22.0	52.22
18330.0	7.472	2.728	10.28	-4868.0	110.1	56.0	111.2
325.4	3.39	1.461	11.85	-249.5	98.9	44.0	53.25
7780.0	8.464	1.462	34630.0	-3593.0	208.1	100.0	129.2
16090.0	6.994	2.895	9.789	-3674.0	75.07	40.0	95.75
9990.0	8.161	1.201	25660.0	-5004.0	199.0	96.0	134.1
2325.0	8.487	0.4563	11.17	-1390.0	137.4	66.0	111.9
12840.0	6.507	2.778	10.4	-4124.0	112.0	56.0	102.4
21150.0	8.106	3.475	15110.0	-5528.0	130.1	66.0	126.5
11700.0	4.613	2.906	10.02	-2778.0	44.05	24.0	66.86
6407.0	5.521	1.83	10.83	-1585.0	112.9	52.0	76.38
10080.0	8.312	1.416	23810.0	-3565.0	130.5	64.0	115.4
2629.0	9.134	0.0	9.286	-1296.0	43.24	20.0	88.85
3910.0	8.172	0.1367	9.282	-2133.0	132.9	64.0	109.2
