number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units,params_optimizer,state
78,0.34306390285491944,2026-02-27 13:32:57.297350,2026-02-27 13:33:18.576791,0 days 00:00:21.279441,swish,4,0.2,0.004858321989075101,2,12,adam,COMPLETE
79,0.34960018992424013,2026-02-27 13:33:18.597842,2026-02-27 13:33:44.857197,0 days 00:00:26.259355,swish,16,0.0,0.002875459836438389,2,12,adam,COMPLETE
80,0.25349723398685453,2026-02-27 13:33:44.878464,2026-02-27 13:34:10.933562,0 days 00:00:26.055098,relu,4,0.1,0.006092307082042643,2,12,adam,COMPLETE
81,0.25491916090250016,2026-02-27 13:34:10.958799,2026-02-27 13:34:35.788584,0 days 00:00:24.829785,relu,4,0.1,0.006338097036927435,2,12,adam,COMPLETE
82,0.28443428575992585,2026-02-27 13:34:35.806376,2026-02-27 13:35:01.049869,0 days 00:00:25.243493,relu,4,0.1,0.006125080944076885,2,12,adam,COMPLETE
83,0.36969237923622134,2026-02-27 13:35:01.069963,2026-02-27 13:35:22.126239,0 days 00:00:21.056276,relu,4,0.1,0.003842182695778954,2,12,adam,COMPLETE
84,0.2727025538682938,2026-02-27 13:35:22.144963,2026-02-27 13:35:43.554572,0 days 00:00:21.409609,relu,4,0.1,0.006280125894792171,2,12,adam,COMPLETE
85,0.4244510978460312,2026-02-27 13:35:43.580630,2026-02-27 13:36:11.886845,0 days 00:00:28.306215,relu,4,0.1,0.0004492858915453818,2,12,adam,COMPLETE
86,0.3241477936506271,2026-02-27 13:36:11.904045,2026-02-27 13:36:37.875306,0 days 00:00:25.971261,relu,4,0.1,0.0048979150240849026,2,12,adam,COMPLETE
87,0.3999787509441376,2026-02-27 13:36:37.889536,2026-02-27 13:37:00.631132,0 days 00:00:22.741596,relu,4,0.1,0.002209584102116775,2,12,adam,COMPLETE
88,0.5151069045066834,2026-02-27 13:37:00.648307,2026-02-27 13:37:23.805036,0 days 00:00:23.156729,relu,4,0.1,0.00824612686511802,2,12,sgd,COMPLETE
89,0.583478844165802,2026-02-27 13:37:23.831281,2026-02-27 13:37:45.733054,0 days 00:00:21.901773,relu,8,0.0,0.0007502697276588424,2,8,adam,COMPLETE
90,0.25395996421575545,2026-02-27 13:37:45.758900,2026-02-27 13:38:08.703700,0 days 00:00:22.944800,relu,4,0.1,0.00998683043499086,2,12,rmsprop,COMPLETE
91,0.267234143614769,2026-02-27 13:38:08.721270,2026-02-27 13:38:31.992597,0 days 00:00:23.271327,relu,4,0.1,0.006739186280100504,2,12,rmsprop,COMPLETE
92,0.30958861112594604,2026-02-27 13:38:32.018522,2026-02-27 13:38:54.599095,0 days 00:00:22.580573,relu,4,0.1,0.007234926456018042,2,12,rmsprop,COMPLETE
93,0.33136502653360367,2026-02-27 13:38:54.617493,2026-02-27 13:39:18.833703,0 days 00:00:24.216210,relu,4,0.1,0.005824173172094825,2,12,rmsprop,COMPLETE
94,0.3345233529806137,2026-02-27 13:39:18.851222,2026-02-27 13:39:41.203656,0 days 00:00:22.352434,relu,4,0.1,0.00809321112332989,2,12,rmsprop,COMPLETE
95,0.27943581640720366,2026-02-27 13:39:41.229727,2026-02-27 13:40:01.575323,0 days 00:00:20.345596,relu,4,0.1,0.006769985331075682,2,12,rmsprop,COMPLETE
