Molecule,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
ClC_Cl_Cl,0.26220845814810556,0.02189925140331657,-0.15499120122335058,-0.19871569726587207,0.10524032775402672,0.22002356385720317,-0.014662632688571122
FC_Br__F_F,0.006514318720094191,-0.09135341243273609,-0.01737418598827907,-0.22175904401697655,0.2626736787101937,-0.031292910474062186,-0.29226063376039807
ClC_Cl__Cl_Cl,0.44784686315434363,-0.20286754853446337,-0.14200846393702324,-0.18753400769484435,0.28882362514020116,0.15410448862277296,0.2336640147698048
CC_Cl__Cl_Cl,0.4376265305463924,0.1866454509893871,-0.2796254791720949,-0.29073798035716786,0.17995446041119076,0.18706402623998813,0.24925940808844657
CCl,-0.11482890297066989,0.2083770476684544,-0.0952706097062439,-0.21707482271019463,-0.26256667386966925,0.3518617143260637,-0.5458657220343144
FC_Cl__F_F,-0.08714109281458436,-0.10118437283517119,0.19813925296475776,-0.2261410574975144,0.025723143711759308,0.04286604916467186,-0.3890720368999678
ClP_Cl_Cl,0.44784686315434363,-0.0512844875082847,-0.4478817544028993,-0.16400712842174947,0.2007676830799722,0.18706402623998813,0.12329661589941551
SF6,-0.08500411417837646,-0.20286754853446337,0.6862901749306729,-0.23180745423958923,0.24719717980263828,-0.24964984718811245,-0.308935708154946
FS__O___O_C_F__F_F,0.09654615778468097,0.088335846965036,0.18775306313569598,-0.3058483716693677,0.27975119474611687,-0.12605158112355566,-0.07704420596313898
FC_Br__Cl_F,0.18899371182932903,-0.08651037088711538,-0.157587748680616,-0.20868855553192395,0.3507296207704228,0.005786569345304849,-0.08064314288282556
FC_F_F,-0.26255916521287115,0.14318225763125303,0.533093874952008,-0.2353583961979562,-0.15834045881292533,0.10878512439910214,-0.6640308175640247
FC_Cl__Cl_Cl,0.2691768667444358,-0.10840754163611827,-0.08488441987718211,-0.20000008052740906,0.20130135545609468,0.11702500880340595,0.029724255987563734
O_C_O,-0.2869950513573359,-0.20286754853446337,0.5694455393537248,-0.21465716010024266,-0.2970952766048015,0.3683414831346714,-0.7825558067857032
C_C,-0.1971490365219846,-0.20286754853446337,-0.10046370462077521,-0.21896362162421962,-0.39299620259403256,0.4013010207518865,-0.6952216042013082
FC_C_F__F_F__F_F,-0.06911614257874346,-0.20286754853446337,0.21371853770835086,-0.33501142690191293,0.20450338971283036,-0.23317007837950487,-0.22184143469853
FS__O_F,-0.14511825233605208,0.16470688672290038,0.19034961059296143,-0.18488968921520943,-0.07268604244524808,0.14586460421846922,-0.5543832060775726
C_CC_F__F_F,0.053992409289757654,0.32986702148381053,-0.16797393850967837,-0.3727874051824121,-0.01937217207060038,0.05110593356897563,-0.19137043544518353
Cl2,-0.1118557153029023,-0.20286754853446337,-0.03814656564640308,-0.11158918095972893,-0.15359077466543422,0.3189021767088487,-0.5522238439257607
SeF6,-0.007515410587184034,-0.20286754853446337,1.3795683460205612,-0.2250833301056606,0.4980231965802603,-0.32380880682684654,-0.22867941484593476
FC__C_F_F_C__C_F_F_F,0.30429764606994025,-0.19758573570351293,-0.6992275482662,-0.41577646846561983,0.3325847599822544,-0.2826093848053276,0.12689555281910203
F_C__C__C_F__F_F__F__C_F__F_F,0.275773626882295,-0.12835921706337614,-0.20692215036866096,-0.4725159878429298,0.5353802629088423,-0.4968463793172262,0.3272363746816563
ClSSCl,0.5639870064265141,0.03452427423591744,-0.5483681409990747,-0.15367917595986108,0.18849321842915234,0.18706402623998813,0.14728952869732626
